"고유번호","작품분류코드","작품분류명","관리번호(년도)","관리번호(번호)","작품명(국문)","작품명(영문)","작품규격","액자규격","제작년도","재료/기법","기증자","수집년도","소장처분류코드","소장처분류명","작품캡션","작가명","메인이미지","썸네일이미지"
"25","A01","한국화","1988","9","이브","","129.5 X 161","152 X 183","1988","장지에 암채","","1988","B02","북서울미술관 수장고","","이숙자","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=43","http://collections.eseoul.go.kr/data/art/thumb/0025.jpg"
"26","A01","한국화","1988","10","율","","179*243.7cm","195*259.3cm","1988","화선지에 수묵담채","","1988","B02","북서울미술관 수장고","","정치환","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=44","http://collections.eseoul.go.kr/data/art/thumb/0026.jpg"
"27","A01","한국화","1988","11","관조","","194 X 328","202 X 337","1988","장지에 수묵채색","","1988","B02","북서울미술관 수장고","","송수련","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=45","http://collections.eseoul.go.kr/data/art/thumb/0027_1.jpg"
"28","A01","한국화","1988","12","작품 88 - 2","","224*234cm","233.8*243.5cm","1988","종이에 수묵채색","","1988","B02","북서울미술관 수장고","","김기창","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=48","http://collections.eseoul.go.kr/data/art/thumb/0028.jpg"
"29","A01","한국화","1988","13","작품 88 - 62","","192*353cm","213*374cm","1988","한지에 수묵채색","","1988","B02","북서울미술관 수장고","","이규선","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=49","http://collections.eseoul.go.kr/data/art/thumb/0029.jpg"
"30","A01","한국화","1988","14","생태 1","","161.5 X 140","199 X 179","1988","화선지에 수묵채색","","1988","B02","북서울미술관 수장고","","민경갑","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=52","http://collections.eseoul.go.kr/data/art/thumb/0030.jpg"
"31","A02","회화","1988","15","영취산","","160 X 225","183 X 248","1988","캔버스에 유채","","1988","B02","북서울미술관 수장고","","오승우","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=56","http://collections.eseoul.go.kr/data/art/thumb/0031.jpg"
"32","A02","회화","1988","16","접합 88 - 07","","120 X 220","126 X 225.5","1988","마대에 유채","","1988","B02","북서울미술관 수장고","하종현(1935― )은 홍익대학교 회화과를 졸업하였다. 한국, 프랑스, 일본 등에서 다수의 개인전과 단체전을 가졌다. 1999년 서울시문화상, 2007년 프랑스 문화훈장 기사장을 받았다. 홍익대학교 미술대학 교수와 서울시립미술관 관장을 역임했다.  마대 천과 물감의 만남이라는 하종현의 대표 연작 〈접합〉은 1970년대부터 이어진 물질이 갖는 고유한 성질에 대한 작가의 관심에서 비롯되었다. 1960년대 앵포르멜 경향의 작품으로 화단에 등단한 하종현은 캔버스 천을 잘라 엮는 등의 기하학적 추상으로 전환하였다가, 1970년대 초반 전위적 미술단체인 한국아방가르드협회(AG) 회장으로 활동하면서 신문지, 용수철, 나무 등을 활용한 실험적인 설치미술을 시도하였다. 이 시기 다양한 오브제 작업에서 표출되기 시작한 그의 물성에 대한 관심은 1974년 시작된 캔버스 작업 〈접합〉 연작으로 귀결되었다. 이 연작은 캔버스 표면에 물감을 칠한다는 개념에서 벗어나 걸쭉하게 갠 물감을 성기게 짜인 마대 천 캔버스 뒷면에서 밀어 넣어 성긴 틈 사이를 통해 배어나오게 하는 작가 특유의 방식을 이용한 작업이다. 여기에서 두드러지는 것이 마대 천 캔버스 앞면에 송골송골하게 맺힌 물감 알갱이들이다. 작가는 이를 흘러내리게 하거나 특별히 고안한 나이프나 주걱으로 흔적을 가하는 행위를 통해 물감의 다양한 표정을 드러낸다. 흰색, 갈색 등 무채색으로 제작되는 이러한 〈접합〉 연작은 행위를 중심에 둔 물성의 실험이다. 접합의 의미 자체가 물질과 신체의 만남이며, 물감 긁기, 밀어내기 등의 다양한 신체적 행위를 만나 그 물성을 드러내는 것이다. “가능한 한 물질 그 자체인 상태에서 내가 말하고자 하는 전부를 말해줄 수 있기를 바란다”는 작가의 말에서 알 수 있듯이, 이러한 행위는 재현을 거부하고 물질의 그 상태 자체를 드러내기 위한 행위이다. 그리고 물감과 캔버스라는 물성 그 자체를 지향하는 이와 같은 행위는 회화란 무엇인가라는 질문으로 이어진다.  〈접합 88―07〉(1988)은 마대 천 캔버스 뒤에서 스며 나온 물감을 위에서 아래로, 좌에서 우로 획을 그어 작가의 행위의 흔적을 남긴 작업이다. 이러한 행위에 의해 화면 전체에 반복되는 가로, 세로의 획의 흔적은 물감의 물성을 드러내는 동시에 추상적인 화면을 만들어냄으로써 그 회화성을 드러낸다. ","하종현","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=57","http://collections.eseoul.go.kr/data/art/thumb/0032.jpg"
"33","A02","회화","1988","17","자연 88 - 653","","182 X 227","","1988","캔버스에 유채","","1988","B02","북서울미술관 수장고","","석난희","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=58","http://collections.eseoul.go.kr/data/art/thumb/0033.jpg"
"34","A02","회화","1988","18","무제","","128.8*160.3cm","131.7*168.7cm","1988","캔버스에 아크릴릭","","1988","B02","북서울미술관 수장고","","이두식","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=59","http://collections.eseoul.go.kr/data/art/thumb/0034.jpg"
"35","A02","회화","1988","19","공간 8863","","99.5 X 199","101.5 X 201.5","1988","캔버스에 아크릴릭","","1988","B02","북서울미술관 수장고","","이봉열","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=60","http://collections.eseoul.go.kr/data/art/thumb/0035.jpg"
"36","A02","회화","1988","20","작품 88 - 701","","181 X 227","185*230cm","1988","캔버스에 유채","","1988","B02","북서울미술관 수장고","","조용익","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=61","http://collections.eseoul.go.kr/data/art/thumb/0036.jpg"
"37","A02","회화","1988","21","쌍매듭","","141 X 271","","1988","캔버스에 유채","","1988","B02","북서울미술관 수장고","한운성(1946― )은 1970년 서울대학교 미술대학 회화과를 졸업하고 1972년 동 대학원 졸업 후, 1975년 미국 템플대학교 타일러 미술대학 대학원을 졸업하였다. 1988년 롱비치 캘리포니아주립대학교에 문교부 해외파견교수로 재직하였으며, 1999년 금호미술관 개인전을 비롯해 국내외에서 다수의 개인전을 가졌다. 동아미술제, 서울국제소형판화전, 서울국제판화비엔날레 등에서 수상하였다.  한운성은 추상미술이 주류를 이루던 1970년대 한국 화단에서 극사실적인 구상 회화로 독보적인 작품세계를 구축해 온 작가이다. 일상생활 속에서 무심히 지나치기 쉬운 사소한 사물들을 화면 가득 확대하여 그리는 그의 작업은, 작가의 말을 빌면 “구체적인 물질의 세계에서 현대의 리얼리티를 잡아내려는 충동”으로 설명된다. 버려진 콜라 캔을 그린 〈욕심 많은 거인〉, 가로수를 받치는 지지대인 〈받침목〉, 고장 나 천으로 싸놓은 신호등을 그린 〈눈먼 신호등〉 등 3―4년을 주기로 바뀌는 소재들은 현대사회와 그 안에서 살아가는 현대인들을 은유하는 것으로, 작가는 이를 통해 현재 우리가 처해 있는 실존적인 상황을 이야기하고자 한다.  〈쌍매듭〉(1988)은 작가가 작품 〈받침목〉을 제작하던 중 그것을 묶은 새끼줄을 그리는 데서 출발한 〈매듭〉 연작의 하나다. 이 작품은 1980년대의 정치사회적 혼란 속에서 느꼈던 개인적 감성을 담는 데서 시작된 것으로, 당시의 사회적 상황을 은유하는 대표작으로 꼽힌다. ‘매듭’이라는 소재가 지닌 의미, 즉 ‘얽혀 있어서 풀리지 않음’은 당대 한국 사회의 응축된 한(恨)을 상징하는 것으로, 작가는 직접 새끼줄을 묶어 매듭진 형상을 연출한 후 그것의 조형미를 집중적으로 탐구하였다. 캔버스 정 가운데 축에 매듭이 자리하도록 하고 이를 클로즈업하는 구도를 사용함으로써 관람자의 시선을 집중시키고 심리적인 긴장감을 만들어냈는데, 이는 현실을 회피하지 않고 당당하게 맞서려는 태도로 읽을 수 있다. ","한운성","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=62","http://collections.eseoul.go.kr/data/art/thumb/0037.jpg"
"38","A02","회화","1988","22","楮 (저) No.88055","","182 X 258","","1988","캔버스에 한지","","1988","B02","북서울미술관 수장고","","정창섭","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=63","http://collections.eseoul.go.kr/data/art/thumb/0038.jpg"
"39","A02","회화","1988","23","얼레짓훈륜 88725","","190 X 260","","1988","면포에 아크릴릭","","1988","B02","북서울미술관 수장고","","윤명로","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=64","http://collections.eseoul.go.kr/data/art/thumb/0039.jpg"
"40","A02","회화","1988","24","빛 88 - 67","","240 X 180","","1988","캔버스에 아크릴릭","","1988","B02","북서울미술관 수장고","","하동철","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=65","http://collections.eseoul.go.kr/data/art/thumb/0040.jpg"
"41","A02","회화","1988","25","후광 88 - 8","","81 X 162","","1988","캔버스에 유채","","1988","B02","북서울미술관 수장고","","김형대","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=66","http://collections.eseoul.go.kr/data/art/thumb/0041.jpg"
"42","A02","회화","1988","26","흑백상","","157*181cm","161.3*185.5cm","1988","캔버스에 유채","","1988","B02","북서울미술관 수장고","남관(1911―1990)은 1925년 일본으로 건너가 1935년 다이헤이요미술학교를 졸업하였다. 일본에서 활동 하다가 광복 후 귀국하여 숙명여자대학교와 홍익대학교 교수를 역임하고, 국전 추천작가, 종합미술전람회 심사위원 등을 지냈다. 1947년 이쾌대, 이인성, 이규상 등과 함께 조선미술문화협회를 결성하여 활동하였다. 1954년 파리로 건너가 아카데미 드 라 그랑드 쇼미에르에서 수학하고, 1958, 59, 61, 64, 66년 살롱 드 메에 초대되었다. 1966년 망통 회화비엔날레에서 쟁쟁한 서구 대가들을 물리치고 대상을 수상하였다. 1968년 귀국하여 1977년까지 홍익대학교 교수를 역임하였고, 국전 심사위원과 운영위원을 지냈다. 1974년 대한민국 문화예술상, 1981년 대한민국 문화훈장을 받았다.  남관은 근대에서 현대로 이행해가는 한국미술의 전환기에 추상화단의 발전을 이끌었던 작가이다. 그의 작품 세계는 크게 세 시기로 나눌 수 있는데, 제1시기는 초창기에서부터 도불 직전까지, 제2시기는 체불 시대, 제3시기는 귀국 이후이다. 초창기 남관의 작품은 야수주의, 입체주의 등의 서구 사조를 절충시켜 일본화 시킨 당시 일본화단의 혼성적 경향에 영향을 받았으나, 귀국 후 한국전쟁에 종군화가로 참전하면서 직접 경험한 인간의 비극적 실존을 추상적으로 드러내기 시작했다. 그러나 1954년 도불 직전까지의 추상 작업은 조심스러운 시도에 그치는 것이었다. 그러다가 프랑스에 머물던 체불 시기에 본격적으로 추상 세계를 탐구하기 시작하는데, 이때 파리 화단은 미셸 타피에(Michel Tapie)가 선도하는 앵포르멜 열풍이 휘몰아치고 새로운 에콜 드 파리 작가들이 살롱 드 메를 중심으로 활발히 활동하던 시기였다. 이러한 분위기 속에서 남관은 최신 서구 미술 경향으로부터 직접적인 영감을 받는 한편, 고국에서 겪었던 전쟁의 처절한 경험을 화면에 되살려 인간 내면의 진실이 드러나는 화면을 창출해냈다. 그의 작품은 프랑스 평론가들로부터 ‘동양과 서양의 융합’이라는 호평을 받았으며, 살롱 드 메에 초대되고 파리시립미술관이 소장하는 등 성과를 이루어냈다. 1968년 귀국 후에는 체불 시기의 작업을 바탕으로 추상 문법을 발전시켰는데, 후기 작품들에서는 색채가 좀 더 화려해지면서 마스크와 상형문자를 연상시키는 형상이 추상 화면 속에서 신비롭게 반복 등장하게 된다.  〈흑백상〉(1988)은 1980년대 중·후반에 제작된 〈흑백상(黑白想)〉 연작 중 하나이다. 남관 작품의 대표적 특징인 문자추상 형식의 정수가 잘 드러나는 작품으로서, 이전  작업에서 보여주던 화려한 색채감이 제거되고 흑백의 톤과 그리드, 상형문자를 연상시키는 형태들로 화면이 구성되어 있다. 인간 형상을 연상시키는 문자 형태가 절제된 감각으로 배열된 화면은 한자와 서예에 기반하고 있는 동양 문화의 지적인 특질을 응축하고 있으며, 다른 한편으로는 고대 문화의 신비성까지 함유하고 있다. ","남관","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=67","http://collections.eseoul.go.kr/data/art/thumb/0042.jpg"
"43","A02","회화","1988","27","속초항의 일출","","95.5 X 161","131.5 X 196.5","1988","캔버스에 유채","","1988","B02","북서울미술관 수장고","","김태","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=68","http://collections.eseoul.go.kr/data/art/thumb/0043.jpg"
"44","A02","회화","1988","28","이브 88 - 101","","161 X 129","162.5 X 131","1988","캔버스에 유채","","1988","B02","북서울미술관 수장고","","정문규","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=69","http://collections.eseoul.go.kr/data/art/thumb/0044.jpg"
"45","A02","회화","1988","29","메아리","","147.5 X 203","179 X 236","1988","캔버스에 유채","","1988","B02","북서울미술관 수장고","","정승주","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=70","http://collections.eseoul.go.kr/data/art/thumb/0045.jpg"
"46","A02","회화","1988","30","형상 88 - 10","","92.5 X 184","110.5 X 201.5","1988","한지에 혼합재료","","1988","B02","북서울미술관 수장고","","김태호(1948)","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=71","http://collections.eseoul.go.kr/data/art/thumb/0046.jpg"
"47","A02","회화","1988","31","일상","","182*227","","1988","캔버스에 유채","","1988","B02","북서울미술관 수장고","이석주(1952― )는 홍익대학교 회화과와 동 대학원을 졸업했다. 1983년, 1984년 대한민국미술대전 특선, 1983년 아시아미술비엔날레 금상을 수상하였다. 현재 숙명여자대학교 회화과 교수로 재직 중이다.   이석주는 한국 극사실주의 1세대 화가로, 1970년대 모노크롬 회화가 한국 화단을 주도하던 시절에 극사실주의 회화를 시작했다. 다양한 일상적 소재들을 초현실주의의 데페이즈망(depaysement) 기법을 활용하여 작업하는 작가는 그 스케일을 조작하고 이질적 사물들과 병치한다. 이로써 그의 작품은 극사실주의 회화임에도 불구하고 물적 현실에 대한 명료한 시지각과 인식 보다는 상상력과 정서적 반응을 불러일으킨다. 이런 특징으로 인해 그의 회화는 ‘현실과 초현실의 접점에서 이루어지는 극사실주의’로 규정된다. 1970년대 말에서 1980년대 초에는 벽돌벽과 제한된 시야로 바라본 도시의 일상적 풍경을 많이 그렸고, 이를 통해 작가는 도시의 익명적 삶의 우울함을 드러냈다. 이런 작업에는 아웃사이더이자 관찰자인 작가의 시선이 깃들어 있다. 그러나 그는 역으로 그 답답한 현실에 극사실주의로 초접근하면서 탈출구를 찾았는데, 그것이 바로 데페이즈망이었다. 그는 시계를 비롯한 일상적 사물들과 인체의 일부분을 원래의 맥락에서 떼어내 새롭게 구조화했다. 이 시기 작업에서는 틀에 박힌 일상의 맥락을 탈출하려는 작가의 고투가 고스란히 느껴진다. 1980년대 말 이후로는 도시인들의 일상 사물들은 사라지고, 책, 기차, 말. 시계, 구름, 낙엽 등 일상과 일정한 거리가 있는 다양한 대상들이 작품에 등장한다. 극사실주의 기법이 더욱 섬세해진 이 시기 작업들은 보다 몽환적이고 시적인 분위기를 풍기는데, 그 주된 정조는 상실과 그에 대한 다소간 우울한 향수이다. 그러나 2000년대 들어서서 다시 일상의 도시 공간이 복귀할 때는 이러한 정조가 사라진다. 아마도 오랫동안 시계를 그려온 이석주도 그 무엇도 피할 수 없는 시간의 소멸의 힘 앞에서 멜랑콜리의 정조를 거두고 무상의 사유로 나아가고 있는 듯하다.  〈일상〉(1988)은 이석주 특유의 데페이즈망 기법을 통해 일상의 덧없음에 대한 감각을 드러낸 작품이다. 이 작품에서 극사실주의 기법으로 가장 온전하게 그려진 대상은 시계이다. 시계는 시간의 흐름을 나타내는 동시에, 시간의 흐름에 의해 그 어떤 영향도 받지 않는 유일한 사물로 묘사되어 있다. 그러나 나머지 모든 일상의 사물들은 그 시계가 상징하는 시간의 흐름으로부터 자유롭지 못하다. 비교적 새것처럼 보이는 치약 튜브는 찌그러져 있고, 무엇인지 알 수 없는 빨간 비닐 포장상자도 푸른 대기 중으로 사라져가는 중이다. 무엇인지 알 수 없는 플라스틱 병들과 일상용품들은 녹슬고 색이 바래버렸다. 언젠가는 치약 튜브와 빨간 비닐 역시 그처럼 색이 바래질 것이다. 시간의 가차 없음에 대한 이러한 묘사를 통해 그는 보는 이들을 일상과 삶에 대한 사유와 관조의 시간으로 이끈다. ","이석주","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=72","http://collections.eseoul.go.kr/data/art/thumb/0047.jpg"
